Date;Price;Open;High;Low;Vol.;Change %
04/21/2011;111.374;107.225;111.967;106.369;5.75M;4.45%
04/20/2011;106.632;109.201;109.267;106.040;5.05M;-0.92%
04/19/2011;107.620;108.674;109.465;107.620;4.43M;-0.12%
04/18/2011;107.752;112.428;112.428;106.501;7.25M;-4.16%
04/15/2011;112.428;113.219;113.614;110.913;5.52M;-0.29%
04/14/2011;112.758;114.997;115.195;112.231;5.76M;-2.56%
04/13/2011;115.721;116.973;117.171;115.260;4.57M;-0.51%
04/12/2011;116.314;117.566;118.685;116.051;4.90M;-2.05%
04/11/2011;118.751;118.290;119.805;118.224;3.61M;0.50%
04/08/2011;118.158;119.212;119.739;116.907;4.86M;-0.17%
04/07/2011;118.356;118.158;120.793;117.697;7.43M;0.28%
04/06/2011;118.027;112.824;118.685;110.979;10.20M;3.46%
04/05/2011;114.075;112.758;114.536;111.374;5.12M;0.81%
04/04/2011;113.153;114.075;115.063;112.626;5.09M;-1.66%
04/01/2011;115.063;115.787;116.709;111.836;8.55M;0.17%
03/31/2011;114.865;119.278;119.344;113.416;8.24M;-3.70%
03/30/2011;119.278;120.398;120.464;118.224;4.61M;0.17%
03/29/2011;119.080;123.098;123.296;118.092;7.24M;-3.68%
03/28/2011;123.625;123.032;123.888;122.242;4.50M;0.37%
03/25/2011;123.164;123.823;124.415;122.374;4.91M;-0.11%
03/24/2011;123.296;117.763;123.362;117.434;8.18M;4.35%
03/23/2011;118.158;116.183;118.422;115.919;5.95M;2.16%
03/22/2011;115.656;116.907;118.224;114.668;5.79M;-0.68%
03/21/2011;116.446;115.590;116.446;114.470;4.63M;2.43%
03/18/2011;113.680;114.338;115.853;112.428;7.89M;0.41%
03/17/2011;113.219;113.680;114.668;110.189;9.50M;0.29%
03/16/2011;112.889;118.422;119.212;112.165;10.41M;-4.09%
03/15/2011;117.697;118.027;120.661;115.392;10.97M;-2.77%
03/14/2011;121.056;116.578;121.913;116.578;10.12M;3.84%
03/11/2011;116.578;116.841;119.212;116.446;5.48M;-1.17%
03/10/2011;117.961;118.488;119.410;117.171;5.13M;-1.70%
03/09/2011;120.003;119.344;120.134;118.158;5.92M;1.22%
